序号[l][#]	道具名称[l][#]	描述[l]	短描述	使用和产出说明	作用效果[l]	每日限制使用次数[l]	道具类型，根据效果分类[l][#]	转生次数[l]	使用等级[l]	使用者类型[l]	职业限制	物品等级[l]	出售价格[l]	道具品质[l][#]	道具图标[l]	掉落图标[l][#]	叠加上限[l]	无法丢弃摧毁(0可以、1不可以)[l]	有效时间（单位分钟）[l]	是否广播[l]	广播id	界面显示道具品质[l]	是否掉落公告	是否可使用[l]	英雄使用等级	神龙遗迹内是否可使用[l]（0是可以，1是不可以）	掉落特效[#]	红点特效[l]	排序(从大到小)	获得后自动使用[l]	背包类型（0普通1印记）[l]
625	静之刺杀剑术Ⅴ	#ffcc00|【技能书】|n|#bfbfbf|用于将4级静之刺杀剑术技能提升至5级|n|#bfbfbf|最高等级的静之刺杀剑术！|n|#4ba0de|【合成大师】	#bfbfbf|用于激活内功技能	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	913	0	0	0	0	0	1	25	003752	003752	100	0	0	0	0	25	1	0	0	0	0	0	19375	0	0
631	静之烈火剑法	#ffcc00|【技能书】|n|#bfbfbf|用于学习1级静之烈火剑法技能|n|#bfbfbf|可由1张古籍残片和5颗绿宝石合成获得，或使用2本静之烈火剑法和2颗无痕绿宝石在|#4ba0de|合成大师|#bfbfbf|处合成1本静之烈火剑法Ⅱ|n|#4ba0de|【怪物掉落】	#bfbfbf|用于激活内功技能	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	2131	0	913	0	0	0	0	0	1	25	003752	003752	100	0	0	0	0	25	1	0	0	0	0	0	19369	0	0
632	静之烈火剑法Ⅱ	#ffcc00|【技能书】|n|#bfbfbf|用于将1级静之烈火剑法技能提升至2级|n|#bfbfbf|2本静之烈火剑法Ⅱ和3颗无痕绿宝石可以在|#4ba0de|合成大师|#bfbfbf|处合成1本静之烈火剑法Ⅲ|n|#4ba0de|【合成大师】	#bfbfbf|用于激活内功技能	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	913	0	0	0	0	0	1	25	003752	003752	100	0	0	0	0	25	1	0	0	0	0	0	19368	0	0
633	静之烈火剑法Ⅲ	#ffcc00|【技能书】|n|#bfbfbf|用于将2级静之烈火剑法技能提升至3级|n|#bfbfbf|2本静之烈火剑法Ⅲ和1颗完美绿宝石可以在|#4ba0de|合成大师|#bfbfbf|处合成1本静之烈火剑法Ⅳ|n|#4ba0de|【合成大师】	#bfbfbf|用于激活内功技能	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	913	0	0	0	0	0	1	25	003752	003752	100	0	0	0	0	25	1	0	0	0	0	0	19367	0	0
634	静之烈火剑法Ⅳ	#ffcc00|【技能书】|n|#bfbfbf|用于将3级静之烈火剑法技能提升至4级|n|#bfbfbf|2本静之烈火剑法Ⅳ和2颗完美绿宝石可以在|#4ba0de|合成大师|#bfbfbf|处合成1本静之烈火剑法Ⅴ|n|#4ba0de|【合成大师】	#bfbfbf|用于激活内功技能	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	913	0	0	0	0	0	1	25	003752	003752	100	0	0	0	0	25	1	0	0	0	0	0	19366	0	0
635	静之烈火剑法Ⅴ	#ffcc00|【技能书】|n|#bfbfbf|用于将4级静之烈火剑法技能提升至5级|n|#bfbfbf|最高等级的静之烈火剑法！|n|#4ba0de|【合成大师】	#bfbfbf|用于激活内功技能	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	913	0	0	0	0	0	1	25	003752	003752	100	0	0	0	0	25	1	0	0	0	0	0	19365	0	0
641	静之倚天辟地	#ffcc00|【技能书】|n|#bfbfbf|用于学习1级静之倚天辟地技能|n|#bfbfbf|可由1张古籍残片和5颗绿宝石合成获得，或使用2本静之倚天辟地和2颗无痕绿宝石在|#4ba0de|合成大师|#bfbfbf|处合成1本静之倚天辟地Ⅱ|n|#4ba0de|【怪物掉落】	#bfbfbf|用于激活内功技能	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	2141	0	913	0	0	0	0	0	1	25	003752	003752	100	0	0	0	0	25	1	0	0	0	0	0	19359	0	0
642	静之倚天辟地Ⅱ	#ffcc00|【技能书】|n|#bfbfbf|用于将1级静之倚天辟地技能提升至2级|n|#bfbfbf|2本静之倚天辟地Ⅱ和3颗无痕绿宝石可以在|#4ba0de|合成大师|#bfbfbf|处合成1本静之倚天辟地Ⅲ|n|#4ba0de|【合成大师】	#bfbfbf|用于激活内功技能	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	913	0	0	0	0	0	1	25	003752	003752	100	0	0	0	0	25	1	0	0	0	0	0	19358	0	0
643	静之倚天辟地Ⅲ	#ffcc00|【技能书】|n|#bfbfbf|用于将2级静之倚天辟地技能提升至3级|n|#bfbfbf|2本静之倚天辟地Ⅲ和1颗完美绿宝石可以在|#4ba0de|合成大师|#bfbfbf|处合成1本静之倚天辟地Ⅳ|n|#4ba0de|【合成大师】	#bfbfbf|用于激活内功技能	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	913	0	0	0	0	0	1	25	003752	003752	100	0	0	0	0	25	1	0	0	0	0	0	19357	0	0
644	静之倚天辟地Ⅳ	#ffcc00|【技能书】|n|#bfbfbf|用于将3级静之倚天辟地技能提升至4级|n|#bfbfbf|2本静之倚天辟地Ⅳ和2颗完美绿宝石可以在|#4ba0de|合成大师|#bfbfbf|处合成1本静之倚天辟地Ⅴ|n|#4ba0de|【合成大师】	#bfbfbf|用于激活内功技能	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	913	0	0	0	0	0	1	25	003752	003752	100	0	0	0	0	25	1	0	0	0	0	0	19356	0	0
645	静之倚天辟地Ⅴ	#ffcc00|【技能书】|n|#bfbfbf|用于将4级静之倚天辟地技能提升至5级|n|#bfbfbf|最高等级的静之倚天辟地！|n|#4ba0de|【合成大师】	#bfbfbf|用于激活内功技能	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	913	0	0	0	0	0	1	25	003752	003752	100	0	0	0	0	25	1	0	0	0	0	0	19355	0	0
651	静之野蛮冲撞	#ffcc00|【技能书】|n|#bfbfbf|用于学习1级静之野蛮冲撞技能|n|#bfbfbf|可由1张古籍残片和5颗绿宝石合成获得，或使用2本静之野蛮冲撞和2颗无痕绿宝石在|#4ba0de|合成大师|#bfbfbf|处合成1本静之野蛮冲撞Ⅱ|n|#4ba0de|【怪物掉落】	#bfbfbf|用于激活内功技能	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	2151	0	913	0	0	0	0	0	1	25	003752	003752	100	0	0	0	0	25	1	0	0	0	0	0	19349	0	0
652	静之野蛮冲撞Ⅱ	#ffcc00|【技能书】|n|#bfbfbf|用于将1级静之野蛮冲撞技能提升至2级|n|#bfbfbf|2本静之野蛮冲撞Ⅱ和3颗无痕绿宝石可以在|#4ba0de|合成大师|#bfbfbf|处合成1本静之野蛮冲撞Ⅲ|n|#4ba0de|【合成大师】	#bfbfbf|用于激活内功技能	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	913	0	0	0	0	0	1	25	003752	003752	100	0	0	0	0	25	1	0	0	0	0	0	19348	0	0
653	静之野蛮冲撞Ⅲ	#ffcc00|【技能书】|n|#bfbfbf|用于将2级静之野蛮冲撞技能提升至3级|n|#bfbfbf|2本静之野蛮冲撞Ⅲ和1颗完美绿宝石可以在|#4ba0de|合成大师|#bfbfbf|处合成1本静之野蛮冲撞Ⅳ|n|#4ba0de|【合成大师】	#bfbfbf|用于激活内功技能	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	913	0	0	0	0	0	1	25	003752	003752	100	0	0	0	0	25	1	0	0	0	0	0	19347	0	0
654	静之野蛮冲撞Ⅳ	#ffcc00|【技能书】|n|#bfbfbf|用于将3级静之野蛮冲撞技能提升至4级|n|#bfbfbf|2本静之野蛮冲撞Ⅳ和2颗完美绿宝石可以在|#4ba0de|合成大师|#bfbfbf|处合成1本静之野蛮冲撞Ⅴ|n|#4ba0de|【合成大师】	#bfbfbf|用于激活内功技能	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	913	0	0	0	0	0	1	25	003752	003752	100	0	0	0	0	25	1	0	0	0	0	0	19346	0	0
655	静之野蛮冲撞Ⅴ	#ffcc00|【技能书】|n|#bfbfbf|用于将4级静之野蛮冲撞技能提升至5级|n|#bfbfbf|最高等级的静之野蛮冲撞！|n|#4ba0de|【合成大师】	#bfbfbf|用于激活内功技能	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	913	0	0	0	0	0	1	25	003752	003752	100	0	0	0	0	25	1	0	0	0	0	0	19345	0	0
701	一级鉴定卷轴	#ffc000|【鉴定材料】|n|#bfbfbf|可以用来获得装备的1鉴属性。|n|#bfbfbf|双击道具可快速前往|#00ffd2| 鉴定大师 |#bfbfbf|处|n|#4ba0de|【商城购买】	#bfbfbf|用于鉴定装备属性	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1102	0	60	0	0	0	1	25	jdjz1	jdjz1	100	0	0	0	0	25	1	0	0	0	0	0	19299	0	0
702	二级鉴定卷轴	#ffc000|【鉴定材料】|n|#bfbfbf|可以用来获得装备的2鉴属性。|n|#bfbfbf|双击道具可快速前往|#00ffd2| 鉴定大师 |#bfbfbf|处|n|#4ba0de|【商城购买】	#bfbfbf|用于鉴定装备属性	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1102	0	60	0	0	0	1	25	jdjz2	jdjz2	100	0	0	0	0	25	1	0	0	0	0	0	19298	0	0
703	三级鉴定卷轴	#ffc000|【鉴定材料】|n|#bfbfbf|可以用来获得装备的3鉴属性。|n|#bfbfbf|双击道具可快速前往|#00ffd2| 鉴定大师 |#bfbfbf|处|n|#4ba0de|【商城购买】	#bfbfbf|用于鉴定装备属性	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1102	0	60	0	0	0	1	25	jdjz3	jdjz3	100	0	0	0	0	25	1	0	0	0	0	0	19297	0	0
704	超级鉴定卷轴	#ffc000|【鉴定材料】|n|#bfbfbf|为5转及以下的装备直接生成3条鉴定属性，已有的鉴定属性不受影响。|n|#bfbfbf|双击道具可快速前往|#00ffd2| 鉴定大师 |#bfbfbf|处|n|#4ba0de|【每日活动-特惠礼包-鉴定礼包】	#bfbfbf|用于鉴定装备属性	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1102	0	60	0	0	0	1	25	cjjdjz	cjjdjz	100	0	0	0	0	25	1	0	0	0	0	0	19297	0	0
711	一级幸运符	#ffc000|【鉴定材料】|n|#bfbfbf|可以用来还原装备的1鉴属性。|n|#bfbfbf|双击道具可快速前往|#00ffd2| 鉴定大师 |#bfbfbf|处|n|#4ba0de|【商城购买】	#bfbfbf|用于还原鉴定属性	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1102	0	60	0	0	0	1	25	xyf1	xyf1	100	0	0	0	0	25	1	0	0	0	0	0	19289	0	0
712	二级幸运符	#ffc000|【鉴定材料】|n|#bfbfbf|可以用来还原装备的2鉴属性。|n|#bfbfbf|双击道具可快速前往|#00ffd2| 鉴定大师 |#bfbfbf|处|n|#4ba0de|【商城购买】	#bfbfbf|用于还原鉴定属性	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1102	0	60	0	0	0	1	25	xyf2	xyf2	100	0	0	0	0	25	1	0	0	0	0	0	19288	0	0
713	三级幸运符	#ffc000|【鉴定材料】|n|#bfbfbf|可以用来还原装备的3鉴属性。|n|#bfbfbf|双击道具可快速前往|#00ffd2| 鉴定大师 |#bfbfbf|处|n|#4ba0de|【商城购买】	#bfbfbf|用于还原鉴定属性	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1102	0	60	0	0	0	1	25	xyf3	xyf3	100	0	0	0	0	25	1	0	0	0	0	0	19287	0	0
721	初级转生石	#ffc000|【转生材料】|n|#bfbfbf|合成|#00ff00| 5转转生材料 |#bfbfbf|时需要的物品。|n|#bfbfbf|双击道具可快速前往|#00ffd2| 合成大师 |#bfbfbf|处|n|#2ca0f2|【怪物掉落、宝藏之地】	#bfbfbf|用于合成转生材料	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1010	0	0	0	0	0	1	25	cjzss	cjzss	100	0	0	0	0	25	1	0	0	0	0	0	19279	0	0
722	高级转生石	#ffc000|【转生材料】|n|#bfbfbf|合成|#00ff00| 8转转生材料 |#bfbfbf|时需要的物品。|n|#bfbfbf|双击道具可快速前往|#00ffd2| 合成大师 |#bfbfbf|处|n|#2ca0f2|【怪物掉落、宝藏之地】	#bfbfbf|用于合成转生材料	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1010	0	0	0	0	0	1	26	gjzss	gjzss	100	0	0	0	0	26	1	0	0	0	0	0	19278	0	0
726	初级生肖石	#ffc000|【生肖材料】|n|#bfbfbf|合成|#00ff00| 4阶生肖装备 |#bfbfbf|时需要的物品。|n|#bfbfbf|双击道具可快速前往|#00ffd2| 合成大师 |#bfbfbf|处|n|#2ca0f2|【怪物掉落、宝藏之地】	#bfbfbf|用于合成生肖装备	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	915	0	0	0	0	0	1	25	sxs1	sxs1	100	0	0	0	0	25	1	0	0	0	0	0	19274	0	0
727	高级生肖石	#ffc000|【生肖材料】|n|#bfbfbf|合成|#00ff00| 7阶生肖装备 |#bfbfbf|时需要的物品。|n|#bfbfbf|双击道具可快速前往|#00ffd2| 合成大师 |#bfbfbf|处|n|#2ca0f2|【怪物掉落、宝藏之地】	#bfbfbf|用于合成生肖装备	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	915	0	0	0	0	0	1	26	sxs2	sxs2	100	0	0	0	0	26	1	0	0	0	0	0	19273	0	0
728	超级生肖石	#ffc000|【生肖材料】|n|#bfbfbf|合成|#00ff00| 9阶生肖装备 |#bfbfbf|时需要的物品。|n|#bfbfbf|双击道具可快速前往|#00ffd2| 合成大师 |#bfbfbf|处|n|#2ca0f2|【怪物掉落、宝藏之地】	#bfbfbf|用于合成生肖装备	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	915	0	0	0	0	0	1	26	sxs3	sxs3	100	0	0	0	0	26	1	0	0	0	0	0	19272	0	0
731	初级星座石	#ffc000|【星座材料】|n|#bfbfbf|合成|#00ff00| 4阶星座装备 |#bfbfbf|时需要的物品。|n|#bfbfbf|双击道具可快速前往|#00ffd2| 合成大师 |#bfbfbf|处|n|#2ca0f2|【怪物掉落、宝藏之地】	#bfbfbf|用于合成星座装备	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	916	0	0	0	0	0	1	25	xzs1	xzs1	100	0	0	0	0	25	1	0	0	0	0	0	19269	0	0
732	高级星座石	#ffc000|【星座材料】|n|#bfbfbf|合成|#00ff00| 7阶星座装备 |#bfbfbf|时需要的物品。|n|#bfbfbf|双击道具可快速前往|#00ffd2| 合成大师 |#bfbfbf|处|n|#2ca0f2|【怪物掉落、宝藏之地】	#bfbfbf|用于合成星座装备	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	916	0	0	0	0	0	1	26	xzs2	xzs2	100	0	0	0	0	26	1	0	0	0	0	0	19268	0	0
733	超级星座石	#ffc000|【星座材料】|n|#bfbfbf|合成|#00ff00| 9阶星座装备 |#bfbfbf|时需要的物品。|n|#bfbfbf|双击道具可快速前往|#00ffd2| 合成大师 |#bfbfbf|处|n|#2ca0f2|【怪物掉落、宝藏之地】	#bfbfbf|用于合成星座装备	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	916	0	0	0	0	0	1	26	xzs3	xzs3	100	0	0	0	0	26	1	0	0	0	0	0	19267	0	0
741	初级聚灵丹	#ffc000|【聚灵】|n|#bfbfbf|双击使用增加|#00ff00| 5000点 |#bfbfbf|主角灵力|n|#bfbfbf|可在|#00ff00|【主角-聚灵】|#bfbfbf|面板用于提高|#00ff00|聚灵等级|n|#4ba0de|【神秘商店、活动奖励】	#bfbfbf|双击使用增加|#00ff00| 5000点 |#bfbfbf|主角魂力	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	5000	0	1105	5	0	0	0	0	1	24	jlz1	jlz1	9999	0	0	0	0	24	1	0	0	0	0	1	19259	0	0
742	高级聚灵丹	#ffc000|【聚灵】|n|#bfbfbf|双击使用增加|#00ff00| 50000点 |#bfbfbf|主角灵力|n|#bfbfbf|可在|#00ff00|【主角-聚灵】|#bfbfbf|面板用于提高|#00ff00|聚灵等级|n|#4ba0de|【神秘商店、活动奖励】	#bfbfbf|双击使用增加|#00ff00| 50000点 |#bfbfbf|主角魂力	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	50000	0	1105	5	0	0	0	0	1	25	jlz2	jlz2	999	0	0	0	0	25	1	0	0	0	0	1	19258	0	0
743	超级聚灵丹	#ffc000|【聚灵】|n|#bfbfbf|双击使用增加|#00ff00| 500000点 |#bfbfbf|主角灵力|n|#bfbfbf|可在|#00ff00|【主角-聚灵】|#bfbfbf|面板用于提高|#00ff00|聚灵等级|n|#4ba0de|【神秘商店、活动奖励】	#bfbfbf|双击使用增加|#00ff00| 500000点 |#bfbfbf|主角魂力	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	500000	0	1105	5	0	0	0	0	1	26	jlz3	jlz3	999	0	0	0	0	26	1	0	0	0	0	1	19257	0	0
744	初级聚灵丹(英雄)	#ffc000|【聚灵】|n|#bfbfbf|双击使用增加|#00ff00| 5000点 |#bfbfbf|英雄灵力|n|#bfbfbf|可在|#00ff00|【英雄-聚灵】|#bfbfbf|面板用于提高|#00ff00|聚灵等级|n|#4ba0de|【神秘商店、活动奖励】	#bfbfbf|双击使用增加|#00ff00| 5000点 |#bfbfbf|英雄魂力	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	5000	0	1106	5	0	2	0	0	1	24	jlz1	jlz1	9999	0	0	0	0	24	1	0	0	0	0	1	19256	0	0
745	高级聚灵丹(英雄)	#ffc000|【聚灵】|n|#bfbfbf|双击使用增加|#00ff00| 50000点 |#bfbfbf|英雄灵力|n|#bfbfbf|可在|#00ff00|【英雄-聚灵】|#bfbfbf|面板用于提高|#00ff00|聚灵等级|n|#4ba0de|【神秘商店、活动奖励】	#bfbfbf|双击使用增加|#00ff00| 50000点 |#bfbfbf|英雄魂力	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	50000	0	1106	5	0	2	0	0	1	25	jlz2	jlz2	999	0	0	0	0	25	1	0	0	0	0	1	19255	0	0
746	超级聚灵丹(英雄)	#ffc000|【聚灵】|n|#bfbfbf|双击使用增加|#00ff00| 500000点 |#bfbfbf|英雄灵力|n|#bfbfbf|可在|#00ff00|【英雄-聚灵】|#bfbfbf|面板用于提高|#00ff00|聚灵等级|n|#4ba0de|【神秘商店、活动奖励】	#bfbfbf|双击使用增加|#00ff00| 500000点 |#bfbfbf|英雄魂力	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	500000	0	1106	5	0	2	0	0	1	26	jlz3	jlz3	999	0	0	0	0	26	1	0	0	0	0	1	19254	0	0
801	五行丹(小)	#ffc000|【经验道具】|n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-五行之体 |#bfbfbf|处,使用增加角色五行之体经验|#00ff00|100W|n|#4ba0de|【5转及以上怪物掉落】	#bfbfbf|用于提高五行之体等级	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	1000000:100:0	100	1112	0	0	1	0	0	1	25	wxd_x	wxd_x	999	0	-1	0	0	25	0	0	0	0	0	0	19199	0	0
802	五行丹(中)	#ffc000|【经验道具】|n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-五行之体 |#bfbfbf|处,角色五行之体达到150级可使用，增加角色五行之体经验|#00ff00|400W|n|#4ba0de|【6转及以上怪物掉落】	#bfbfbf|用于提高五行之体等级	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	4000000:50:150	50	1112	0	0	1	0	0	1	26	wxd_z	wxd_z	999	0	-1	0	0	26	0	0	0	0	0	0	19198	0	0
803	五行丹(大)	#ffc000|【经验道具】|n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-五行之体 |#bfbfbf|处,角色五行之体达到250级可使用，增加角色五行之体经验|#00ff00|1500W|n|#4ba0de|【7转及以上怪物掉落】	#bfbfbf|用于提高五行之体等级	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	15000000:30:250	30	1112	0	0	1	0	0	1	26	wxd_d	wxd_d	999	0	-1	0	0	26	0	0	0	0	0	0	19197	0	0
804	五行丹(特)	#ffc000|【经验道具】|n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-五行之体 |#bfbfbf|处,角色五行之体达到400级可使用，增加角色五行之体经验|#00ff00|5000W|n|#4ba0de|【8转及以上怪物掉落】	#bfbfbf|用于提高五行之体等级	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	50000000:20:400	20	1112	0	0	1	0	0	1	36	wxd_td	wxd_td	999	0	-1	0	0	36	0	0	0	0	0	0	19196	0	0
805	英雄五行丹(小)	#ffc000|【经验道具】|n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-五行之体 |#bfbfbf|处,使用增加英雄五行之体经验|#00ff00|100W|n|#4ba0de|【5转及以上怪物掉落】	#bfbfbf|用于提高五行之体等级	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	1000000:100:0	100	1113	0	0	2	0	0	1	25	wxd_x_y	wxd_x_y	999	0	-1	0	0	25	0	0	0	0	0	0	19195	0	0
806	英雄五行丹(中)	#ffc000|【经验道具】|n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-五行之体 |#bfbfbf|处,英雄五行之体达到150级可使用，增加英雄五行之体经验|#00ff00|400W|n|#4ba0de|【6转及以上怪物掉落】	#bfbfbf|用于提高五行之体等级	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	4000000:50:150	50	1113	0	0	2	0	0	1	26	wxd_z_y	wxd_z_y	999	0	-1	0	0	26	0	0	0	0	0	0	19194	0	0
807	英雄五行丹(大)	#ffc000|【经验道具】|n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-五行之体 |#bfbfbf|处,英雄五行之体达到250级可使用，增加英雄五行之体经验|#00ff00|1500W|n|#4ba0de|【7转及以上怪物掉落】	#bfbfbf|用于提高五行之体等级	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	15000000:30:250	30	1113	0	0	2	0	0	1	26	wxd_d_y	wxd_d_y	999	0	-1	0	0	26	0	0	0	0	0	0	19193	0	0
808	英雄五行丹(特)	#ffc000|【经验道具】|n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-五行之体 |#bfbfbf|处,英雄五行之体达到400级可使用，增加英雄五行之体经验|#00ff00|5000W|n|#4ba0de|【8转及以上怪物掉落】	#bfbfbf|用于提高五行之体等级	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分	50000000:20:400	20	1113	0	0	2	0	0	1	36	wxd_td_y	wxd_td_y	999	0	-1	0	0	36	0	0	0	0	0	0	19192	0	0
809	攻击调和丹	#ffc000|【五行材料】|n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-五行之体 |#bfbfbf|处，用于提升|#00ff00|元素调和|#bfbfbf|等级，根据元素攻击洗炼属性最高值与其他属性的差值，按百分比赋予其他四种属性值。|n|#2ca0f4|【神秘商店】	#bfbfbf|用于提高血符	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1114	0	0	0	0	0	1	26	gjthd	gjthd	100	0	0	0	0	26	0	0	0	0	0	0	19191	0	0
810	防御调和丹	#ffc000|【五行材料】|n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-五行之体 |#bfbfbf|处，用于提升|#00ff00|元素调和|#bfbfbf|等级，根据元素防御洗炼属性最高值与其他属性的差值，按百分比赋予其他四种属性值。|n|#2ca0f4|【神秘商店】	#bfbfbf|用于提高护盾	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1115	0	0	0	0	0	1	26	fythd	fythd	100	0	0	0	0	26	0	0	0	0	0	0	19190	0	0
821	气血丹	#ffc000|【属性丹】|n|#bfbfbf|服用后可永久增加|#00ff00| 8点生命值 |#bfbfbf|，赞助特权可|#00ff00|额外增加服用上限|#bfbfbf|。|n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-属性丹 |#bfbfbf|处|n|#2ca0f4|【4转及以上怪物掉落、装备悬赏宝箱、屠龙意志】	#bfbfbf|提升生命属性	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1116	0	0	0	0	0	1	26	sxd_qxd	sxd_qxd	999	0	0	0	0	26	1	0	0	0	0	0	19179	0	0
822	混元丹	#ffc000|【属性丹】|n|#bfbfbf|服用后可永久增加|#00ff00| 1-1点防御值 |#bfbfbf|，赞助特权可|#00ff00|额外增加服用上限|#bfbfbf|。|n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-属性丹 |#bfbfbf|处|n|#2ca0f4|【4转及以上怪物掉落、装备悬赏宝箱】	#bfbfbf|提升防御属性	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1116	0	0	0	0	0	1	26	sxd_hyd	sxd_hyd	999	0	0	0	0	26	1	0	0	0	0	0	19178	0	0
823	神力丹	#ffc000|【属性丹】|n|#bfbfbf|服用后可永久增加|#00ff00| 1-1点攻击值 |#bfbfbf|，赞助特权可|#00ff00|额外增加服用上限|#bfbfbf|。|n|#bfbfbf|双击道具可快速前往|#00ffd2| NPC-属性丹 |#bfbfbf|处|n|#2ca0f4|【神秘商店、每日充值、屠龙意志】	#bfbfbf|提升攻击属性	#ffff90|按Shift+左键发送至聊天框|n|#ffff90|按Ctrl+左键进行数量拆分		0	1116	0	0	0	0	0	1	26	sxd_sld	sxd_sld	999	0	0	0	0	26	1	0	0	0	0	0	19177	0	0
